DB	DB_Object_ID	DB_Object_Symbol	Qualifier	Ontology_ID ID	Ontology_ID Name	Reference	Evidence_Code	With	Aspect	DB_Object_Name	DB_Object_Synonym	DB_Object_Type	taxon	Date	Assigned_by	Properties ID	Properties Name	Date Created	
	Rv1170	mshB		GO:0016811	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	PMID:11092856	IDA		F		Rv1170	protein	organism:1773	20100307	rwst			Mar 7, 2010	
	Rv1170	mshB		GO:0010125	mycothiol biosynthetic process	PMID:11092856	IDA		P		Rv1170	protein	organism:1773	20100307	rwst			Mar 7, 2010	
	Rv0503c	cmaA2		GO:0008825	cyclopropane-fatty-acyl-phospholipid synthase activity	PMID:11092877	IDA		F		cma2	protein	organism:1773	20100307	rwst			Mar 7, 2010	
	Rv0503c	cmaA2		GO:0071768	mycolic acid biosynthetic process	PMID:11092877	IDA		P		cma2	protein	organism:1773	20100307	rwst			Mar 7, 2010	
	Rv1695	ppnK		GO:0003951	NAD+ kinase activity	PMID:11006082	IDA		F		Rv1695	protein	organism:1773	20100307	rwst			Mar 7, 2010	
	Rv1695	ppnK		GO:0051289	protein homotetramerization	PMID:11006082	IPI		P		Rv1695	protein	organism:1773	20100307	rwst			Mar 7, 2010	
	Rv3808c	glfT2		GO:0008921	lipopolysaccharide-1,6-galactosyltransferase activity	PMID:11304545	IDA		F		Rv1808c	protein	organism:1773	20100307	rwst			Mar 7, 2010	
	Rv3808c	glfT2		GO:0071769	mycolate cell wall layer assembly	PMID:11304545	IDA		P		Rv1808c	protein	organism:1773	20100307	rwst			Mar 7, 2010	
	Rv0169	mce1A		GO:0030260	entry into host cell	PMID:11298648	IDA		P		mce1	protein	organism:1773	20100308	rwst			Mar 8, 2010	
	Rv3825c	pks2		GO:0006633	fatty acid biosynthetic process	PMID:11278910	IDA		P		Rv3825c	protein	organism:1773	20100308	rwst1			Mar 8, 2010	
	Rv1410c	Rv1410c		GO:0005887	integral to plasma membrane	PMID:11181364	IDA		C		P55	protein	organism:1773	20100308	rwst			Mar 8, 2010	
	Rv1410c	Rv1410c		GO:0015562	efflux transmembrane transporter activity	PMID:11181364	IDA		F		P55	protein	organism:1773	20100308	rwst			Mar 8, 2010	
	Rv0700	rpsJ		GO:0005515	protein binding	PMID:11170413	IPI	Rv2533c	F		nusE	protein	organism:1773	20100308	rwst			Mar 8, 2010	
	Rv0432	sodC		GO:0052059	evasion or tolerance by symbiont of host-produced reactive oxygen species	PMID:11447176	IDA		P		Rv0432	protein	organism:1773	20100308	rwst			Mar 8, 2010	
	Rv0432	sodC		GO:0052060	evasion or tolerance by symbiont of host-produced nitric oxide	PMID:11447176	IDA		P		Rv0432	protein	organism:1773	20100308	rwst			Mar 8, 2010	
	Rv2737c	recA		GO:0006974	response to DNA damage stimulus	PMID:11443079	IEP		P		Rv2737c	protein	organism:1773	20100308	rwst			Mar 8, 2010	
	Rv2720	lexA		GO:0006974	response to DNA damage stimulus	PMID:11443079	IEP		P		Rv2720	protein	organism:1773	20100308	rwst			Mar 8, 2010	
	Rv2593c	ruvA		GO:0006974	response to DNA damage stimulus	PMID:11443079	IEP		P		Rv2593c	protein	organism:1773	20100308	rwst			Mar 8, 2010	
	Rv2594c	ruvC		GO:0006974	response to DNA damage stimulus	PMID:11443079	IEP		P		Rv2594c	protein	organism:1773	20100308	rwst			Mar 8, 2010	
	Rv1638	uvrA		GO:0006974	response to DNA damage stimulus	PMID:11443079	IEP		P		Rv1638	protein	organism:1773	20100308	rwst			Mar 8, 2010	
	Rv0058	dnaB		GO:0006974	response to DNA damage stimulus	PMID:11443079	IEP		P		Rv0058	protein	organism:1773	20100308	rwst			Mar 8, 2010	
	Rv0054	ssb		GO:0006974	response to DNA damage stimulus	PMID:11443079	IEP		P		Rv0054	protein	organism:1773	20100308	rwst			Mar 8, 2010	
	Rv2641	cadI		GO:0046686	response to cadmium ion	PMID:11425467	IEP		P			protein	organism:1773	20100308	rwst			Mar 8, 2010	
	Rv2244	acpM		GO:0000035	acyl binding	PMID:11420175	IDA		F		Rv2244	protein	organism:1773	20100308	rwst			Mar 8, 2010	
	Rv2244	acpM		GO:0000036	acyl carrier activity	PMID:11420175	IPI		F		Rv2244	protein	organism:1773	20100308	rwst			Mar 8, 2010	
	Rv1909c	furA		GO:0003700	sequence-specific DNA binding transcription factor activity	PMID:11401695	IMP		F		Rv1909c	protein	organism:1773	20100308	rwst			Mar 8, 2010	
	Rv1174c	TB8.4		GO:0085016	dormancy exit of symbiont in host	PMID:11394916	IDA		P		Rv1174c	protein	organism:1773	20100308	rwst			Mar 8, 2010	
	Rv2243	fabD		GO:0004314	[acyl-carrier-protein] S-malonyltransferase activity	PMID:11373295	IDA		F		mtfabD	protein	organism:1773	20100308	rwst			Mar 8, 2010	
	Rv3240c	secA1		GO:0031522	cell envelope Sec protein transport complex	PMID:12076803	IDA		C		secA	protein	organism:1773	20100308	rwst			Mar 8, 2010	
	Rv3240c	secA1		GO:0005524	ATP binding	PMID:12076803	IDA		F		secA	protein	organism:1773	20100308	rwst			Mar 8, 2010	
	Rv3240c	secA1		GO:0043952	protein transport by the Sec complex	PMID:12076803	IDA		P		secA	protein	organism:1773	20100308	rwst			Mar 8, 2010	
	Rv3106	fprA		GO:0004324	ferredoxin-NADP+ reductase activity	PMID:12071965	IDA		F		Rv3106	protein	organism:1773	20100308	rwst			Mar 8, 2010	
	Rv3106	fprA		GO:0050660	flavin adenine dinucleotide binding	PMID:12071965	IDA		F		Rv3106	protein	organism:1773	20100308	rwst			Mar 8, 2010	
	Rv3106	fprA		GO:0055114	oxidation-reduction process	PMID:12071965	IDA		P		Rv3106	protein	organism:1773	20100308	rwst			Mar 8, 2010	
	Rv0569	Rv0569		GO:0001666	response to hypoxia	PMID:12057942	IDA		P		Rv0569	protein	organism:1773	20100309	rwst			Mar 9, 2010	
	Rv2031c	hspX		GO:0001666	response to hypoxia	PMID:12057942	IDA		P		acr	protein	organism:1773	20100309	rwst			Mar 9, 2010	
	Rv2623	TB31.7		GO:0001666	response to hypoxia	PMID:12057942	IDA		P		Rv2623	protein	organism:1773	20100309	rwst			Mar 9, 2010	
	Rv2626c	hrp1		GO:0001666	response to hypoxia	PMID:12057942	IDA		P		Rv2626c	protein	organism:1773	20100309	rwst			Mar 9, 2010	
	Rv3841	bfrB		GO:0001666	response to hypoxia	PMID:12057942	IDA		P		Rv3841	protein	organism:1773	20100309	rwst			Mar 9, 2010	
	Rv2936	drrA		GO:0005886	plasma membrane	PMID:12057006	IDA		C		Rv2936	protein	organism:1773	20100309	rwst			Mar 9, 2010	
	Rv2937	drrB		GO:0005886	plasma membrane	PMID:12057006	IDA		C		Rv2937	protein	organism:1773	20100309	rwst			Mar 9, 2010	
	Rv2936	drrA		GO:0005524	ATP binding	PMID:12057006	IDA		F		Rv2936	protein	organism:1773	20100309	rwst			Mar 9, 2010	
	Rv0902c	prrB		GO:0044110	growth involved in symbiotic interaction	PMID:11953357	IDA		P		Rv0902c	protein	organism:1773	20100309	rwst1			Mar 9, 2010	
	Rv0903c	prrA		GO:0044110	growth involved in symbiotic interaction	PMID:11953357	IDA		P		Rv0903c	protein	organism:1773	20100309	rwst1			Mar 9, 2010	
	Rv2031c	hspX		GO:0009408	response to heat	PMID:11952782	IDA		P		acr	protein	organism:1773	20100309	rwst			Mar 9, 2010	
	Rv2031c	hspX		GO:0006457	protein folding	PMID:11952782	IDA		P		acr	protein	organism:1773	20100309	rwst			Mar 9, 2010	
	Rv1485	hemZ		GO:0051537	2 iron, 2 sulfur cluster binding	PMID:11948160	IDA		F		hemH	protein	organism:1773	20100309	rwst			Mar 9, 2010	
	Rv2150c	ftsZ		GO:0000917	barrier septum formation	PMID:11932443	IMP		P		Rv2150c	protein	organism:1773	20100309	rwst			Mar 9, 2010	
	Rv2150c	ftsZ		GO:0007049	cell cycle	PMID:11932443	IMP		P		Rv2150c	protein	organism:1773	20100309	rwst			Mar 9, 2010	
	Rv1483	fabG1		GO:0051289	protein homotetramerization	PMID:11932442	IDA		P		mabA	protein	organism:1773	20100309	rwst			Mar 9, 2010	
	Rv1483	fabG1		GO:0071768	mycolic acid biosynthetic process	PMID:11932442	IDA		P		mabA	protein	organism:1773	20100309	rwst			Mar 9, 2010	
	Rv1483	fabG1		GO:0018454	acetoacetyl-CoA reductase activity	PMID:11932442	IDA		F		mabA	protein	organism:1773	20100309	rwst			Mar 9, 2010	
	Rv0001	dnaA		GO:0003688	DNA replication origin binding	PMID:11931658	IDA		F		Rv0001	protein	organism:1773	20100309	rwst			Mar 9, 2010	
	Rv0001	dnaA		GO:0005524	ATP binding	PMID:11931658	IDA		F		Rv0001	protein	organism:1773	20100309	rwst			Mar 9, 2010	
	Rv0001	dnaA		GO:0016887	ATPase activity	PMID:11931658	IDA		F		Rv0001	protein	organism:1773	20100309	rwst			Mar 9, 2010	
	Rv2051c	ppm1		GO:0004582	dolichyl-phosphate beta-D-mannosyltransferase activity	PMID:11931640	IDA		F		Rv2051c	protein	organism:1773	20100309	rwst			Mar 9, 2010	
	Rv2470	glbO		GO:0019825	oxygen binding	PMID:11900532	IDA		F		hbO	protein	organism:1773	20100309	rwst			Mar 9, 2010	
	Rv2470	glbO		GO:0020037	heme binding	PMID:11900532	IDA		F		hbO	protein	organism:1773	20100309	rwst			Mar 9, 2010	
	Rv1461	pps1		GO:0004519	endonuclease activity	PMID:11880421	IDA		F		Rv1461	protein	organism:1773	20100309	rwst			Mar 9, 2010	
	Rv3252c	alkB		GO:0080133	midchain alkane hydroxylase activity	PMID:11872725	IDA		F		Rv3252c	protein	organism:1773	20100310	rwst			Mar 10, 2010	
	Rv0015c	pknA		GO:0046777	protein autophosphorylation	PMID:11856348	IDA		P		Rv0015c	protein	organism:1773	20100310	rwst			Mar 10, 2010	
	Rv0015c	pknA		GO:0004672	protein kinase activity	PMID:11856348	IDA		F		Rv0015c	protein	organism:1773	20100310	rwst			Mar 10, 2010	
	Rv0015c	pknA		GO:0008360	regulation of cell shape	PMID:11856348	IDA		P		Rv0015c	protein	organism:1773	20100310	rwst			Mar 10, 2010	
	Rv1264	Rv1264		GO:0004016	adenylate cyclase activity	PMID:11839758	IDA		F		Rv1264	protein	organism:1773	20100310	rwst			Mar 10, 2010	
	Rv1264	Rv1264		GO:0042803	protein homodimerization activity	PMID:11839758	IDA		F		Rv1264	protein	organism:1773	20100310	rwst			Mar 10, 2010	
	Rv1264	Rv1264		GO:0030145	manganese ion binding	PMID:11839758	IDA		F		Rv1264	protein	organism:1773	20100310	rwst			Mar 10, 2010	
	Rv1908c	katG		GO:0042744	hydrogen peroxide catabolic process	PMID:11795785	IDA		P		Rv1908c	protein	organism:1773	20100310	rwst			Mar 10, 2010	
	Rv1908c	katG		GO:0004096	catalase activity	PMID:11795785	IDA		F		Rv1908c	protein	organism:1773	20100310	rwst			Mar 10, 2010	
	Rv0050	ponA1		GO:0030288	outer membrane-bounded periplasmic space	PMID:11802794	IDA		C		Rv0050	protein	organism:1773	20100310	rwst			Mar 10, 2010	
	Rv0050	ponA1		GO:0008658	penicillin binding	PMID:11802794	IDA		F		Rv0050	protein	organism:1773	20100310	rwst			Mar 10, 2010	
	Rv0475	hbhA		GO:0005515	protein binding	PMID:11705926	IDA	UniProtKB:P01024	F		Rv0475	protein	organism:1773	20100310	rwst			Mar 10, 2010	
	Rv2245	kasA		GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthase activity	PMID:11600501	IDA		F		Rv2245	protein	organism:1773	20100310	rwst			Mar 10, 2010	
	Rv2246	kasB		GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthase activity	PMID:11600501	IDA		F		Rv2246	protein	organism:1773	20100310	rwst			Mar 10, 2010	
	Rv0560c	Rv0560c		GO:0005829	cytosol	PMID:11583850	IDA		C		Rv0560c	protein	organism:1773	20100313	rwst			Mar 13, 2010	
	Rv0560c	Rv0560c		GO:0009751	response to salicylic acid stimulus	PMID:11583850	IEP		P		Rv0560c	protein	organism:1773	20100313	rwst			Mar 13, 2010	
	Rv3065	mmr		GO:0022857	transmembrane transporter activity	PMID:11574548	IDA		F		emrE	protein	organism:1773	20100313	rwst			Mar 13, 2010	
	Rv0933	pstB		GO:0005524	ATP binding	PMID:11567022	IDA		F		Rv0933	protein	organism:1773	20100313	rwst			Mar 13, 2010	
	Rv0933	pstB		GO:0016887	ATPase activity	PMID:11567022	IDA		F		Rv0933	protein	organism:1773	20100313	rwst			Mar 13, 2010	
	Rv3223c	sigH		GO:0006979	response to oxidative stress	PMID:11567012	IMP		P		rpoE	protein	organism:1773	20100314	rwst			Mar 14, 2010	
	Rv3223c	sigH		GO:0034605	cellular response to heat	PMID:11567012	IMP		P		rpoE	protein	organism:1773	20100314	rwst			Mar 14, 2010	
	Rv2150c	ftsZ		GO:0005515	protein binding	PMID:12101218	IPI	Rv0017c	F		Rv2150c	protein	organism:1773	20100314	rwst			Mar 14, 2010	
	Rv0017c	rodA		GO:0005515	protein binding	PMID:12101218	IPI	Rv2150c	F		ftsW	protein	organism:1773	20100314	rwst			Mar 14, 2010	
	Rv0432	sodC		GO:0005886	plasma membrane	PMID:11563965	IDA		C		Rv0432	protein	organism:1773	20100314	rwst			Mar 14, 2010	
	Rv0432	sodC		GO:0075136	response to host	PMID:11563965	IEP		P		Rv0432	protein	organism:1773	20100314	rwst			Mar 14, 2010	
	Rv0137c	msrA		GO:0033744	L-methionine-(S)-S-oxide reductase activity	PMID:11481433	IDA		F		Rv0137c	protein	organism:1773	20100315	rwst			Mar 15, 2010	
	Rv0137c	msrA		GO:0051409	response to nitrosative stress	PMID:11481433	IMP		P		Rv0137c	protein	organism:1773	20100315	rwst			Mar 15, 2010	
	Rv2259	mscR		GO:0016491	oxidoreductase activity	PMID:12809551	IDA		F		Rv2259	protein	organism:1773	20100315	rwst			Mar 15, 2010	
	Rv2259	mscR		GO:0055114	oxidation-reduction process	PMID:12809551	IDA		P		Rv2259	protein	organism:1773	20100315	rwst			Mar 15, 2010	
	Rv0486	mshA		GO:0010125	mycothiol biosynthetic process	PMID:12754249	IMP		P		Rv0486	protein	organism:1773	20100315	rwst			Mar 15, 2010	
	Rv3133c	devR		GO:0001666	response to hypoxia	PMID:12694625	IMP		P		dosR	protein	organism:1773	20100315	rwst			Mar 15, 2010	
	Rv3133c	devR		GO:0003700	sequence-specific DNA binding transcription factor activity	PMID:12694625	IMP		F		dosR	protein	organism:1773	20100315	rwst			Mar 15, 2010	
	Rv1821	secA2		GO:0009405	pathogenesis	PMID:12675804	IMP		P		Rv1821	protein	organism:1773	20100315	rwst			Mar 15, 2010	
	Rv1821	secA2		GO:0043952	protein transport by the Sec complex	PMID:12675804	IMP		P		Rv1821	protein	organism:1773	20100315	rwst			Mar 15, 2010	
	Rv3106	fprA		GO:0008860	ferredoxin-NAD+ reductase activity	PMID:12614197	IDA		F		Rv3106	protein	organism:1773	20100315	rwst			Mar 15, 2010	
	Rv3810	pirG		GO:0009405	pathogenesis	PMID:12542471	IMP		P		erp|P36	protein	organism:1773	20100315	rwst			Mar 15, 2010	
	Rv2002	fabG3		GO:0047044	androstan-3-alpha,17-beta-diol dehydrogenase activity	PMID:12524453	IDA		F		Rv2002	protein	organism:1773	20100315	rwst			Mar 15, 2010	
	Rv2002	fabG3		GO:0008202	steroid metabolic process	PMID:12524453	IDA		P		Rv2002	protein	organism:1773	20100315	rwst			Mar 15, 2010	
	Rv2225	panB		GO:0003864	3-methyl-2-oxobutanoate hydroxymethyltransferase activity	PMID:12515554	IDA		F		Rv2225	protein	organism:1773	20100315	rwst			Mar 15, 2010	
	Rv2225	panB		GO:0015940	pantothenate biosynthetic process	PMID:12515554	IDA		P		Rv2225	protein	organism:1773	20100315	rwst			Mar 15, 2010	
	Rv2225	panB		GO:0000287	magnesium ion binding	PMID:12515554	IDA		F		Rv2225	protein	organism:1773	20100315	rwst			Mar 15, 2010	
	Rv2986c	hupB		GO:0005515	protein binding	PMID:12438350	IDA	UniProtKB:P01024	F		lbp21|hlp	protein	organism:1773	20100315	rwst			Mar 15, 2010	
	Rv2719c	Rv2719c		GO:0006974	response to DNA damage stimulus	PMID:12427951	IDA		P		Rv2719c	protein	organism:1773	20100316	rwst			Mar 16, 2010	
	Rv0867c	rpfA		GO:0040010	positive regulation of growth rate	PMID:12410821	IDA		P		Rv0867c	protein	organism:1773	20100316	rwst			Mar 16, 2010	
	Rv1009	rpfB		GO:0040010	positive regulation of growth rate	PMID:12410821	IDA		P		Rv1009	protein	organism:1773	20100316	rwst			Mar 16, 2010	
	Rv1884c	rpfC		GO:0040010	positive regulation of growth rate	PMID:12410821	IDA		P		Rv1884c	protein	organism:1773	20100316	rwst			Mar 16, 2010	
	Rv2389c	rpfD		GO:0040010	positive regulation of growth rate	PMID:12410821	IDA		P		Rv2389c	protein	organism:1773	20100316	rwst			Mar 16, 2010	
	Rv2450c	rpfE		GO:0040010	positive regulation of growth rate	PMID:12410821	IDA		P		Rv2450c	protein	organism:1773	20100316	rwst			Mar 16, 2010	
	Rv0867c	rpfA		GO:0005576	extracellular region	PMID:12410821	IDA		C		Rv0867c	protein	organism:1773	20100316	rwst			Mar 16, 2010	
	Rv1009	rpfB		GO:0005576	extracellular region	PMID:12410821	IDA		C		Rv1009	protein	organism:1773	20100316	rwst			Mar 16, 2010	
	Rv1884c	rpfC		GO:0005576	extracellular region	PMID:12410821	IDA		C		Rv1884c	protein	organism:1773	20100316	rwst			Mar 16, 2010	
	Rv2389c	rpfD		GO:0005576	extracellular region	PMID:12410821	IDA		C		Rv2389c	protein	organism:1773	20100316	rwst			Mar 16, 2010	
	Rv2450c	rpfE		GO:0005576	extracellular region	PMID:12410821	IDA		C		Rv2450c	protein	organism:1773	20100316	rwst			Mar 16, 2010	
	Rv1963c	mce3R		GO:0003700	sequence-specific DNA binding transcription factor activity	PMID:12368433	IMP		F		Rv1963c	protein	organism:1773	20100316	rwst			Mar 16, 2010	
	Rv1963c	mce3R		GO:0045892	negative regulation of transcription, DNA-dependent	PMID:12368433	IMP		P		Rv1963c	protein	organism:1773	20100316	rwst			Mar 16, 2010	
	Rv3883c	mycP1		GO:0009986	cell surface	PMID:12366866	IDA		C		Rv3883c	protein	organism:1773	20100316	rwst			Mar 16, 2010	
	Rv3883c	mycP1		GO:0005886	plasma membrane	PMID:12366866	IDA		C		Rv3883c	protein	organism:1773	20100316	rwst			Mar 16, 2010	
	Rv3287c	rsbW		GO:0016989	sigma factor antagonist activity	PMID:12354223	IPI		F		usfX	protein	organism:1773	20100316	rwst			Mar 16, 2010	
	Rv1365c	rsfA		GO:0043856	anti-sigma factor antagonist activity	PMID:12354223	IPI		F		Rv1365c	protein	organism:1773	20100316	rwst			Mar 16, 2010	
	Rv3687c	rsfB 		GO:0043856	anti-sigma factor antagonist activity	PMID:12354223	IPI		F		Rv3687c	protein	organism:1773	20100316	rwst			Mar 16, 2010	
	Rv1542c	glbN		GO:0051410	detoxification of nitrogen compound	PMID:12207698	IMP		P		Rv1542c	protein	organism:1773	20100316	rwst			Mar 16, 2010	
	Rv1542c	glbN		GO:0046210	nitric oxide catabolic process	PMID:12207698	IMP		P		Rv1542c	protein	organism:1773	20100316	rwst			Mar 16, 2010	
	Rv3823c	mmpL8		GO:0046506	sulfolipid biosynthetic process	PMID:15001577	IMP		P		Rv3823c	protein	organism:1773	20100317	rwst			Mar 17, 2010	
	Rv3823c	mmpL8		GO:0046506	sulfolipid biosynthetic process	PMID:12724526	IMP		P		Rv3823c	protein	organism:1773	20100317	rwst			Mar 17, 2010	
	Rv2118c	Rv2118c		GO:0016429	tRNA (adenine-N1-)-methyltransferase activity	PMID:14960715	IDA		F		Rv2118c	protein	organism:1773	20100317	rwst			Mar 17, 2010	
	Rv2118c	Rv2118c		GO:0030488	tRNA methylation	PMID:14960715	IDA		P		Rv2118c	protein	organism:1773	20100317	rwst			Mar 17, 2010	
	Rv2118c	Rv2118c		GO:0051289	protein homotetramerization	PMID:14960715	IDA		P		Rv2118c	protein	organism:1773	20100317	rwst			Mar 17, 2010	
	Rv0490	senX3		GO:0009405	pathogenesis	PMID:14715274	IMP		P		Rv0490	protein	organism:1773	20100317	rwst			Mar 17, 2010	
	Rv2115c	mpa		GO:0051409	response to nitrosative stress	PMID:14671303	IMP		P		Rv2115c	protein	organism:1773	20100317	rwst			Mar 17, 2010	
	Rv2097c	pafA		GO:0051409	response to nitrosative stress	PMID:14671303	IMP		P		paf	protein	organism:1773	20100317	rwst			Mar 17, 2010	
	Rv1173	fbiA		GO:0051409	response to nitrosative stress	PMID:14671303	IMP		P		Rv1173	protein	organism:1773	20100317	rwst			Mar 17, 2010	
	Rv1633	uvrB		GO:0051409	response to nitrosative stress	PMID:14671303	IMP		P		Rv1633	protein	organism:1773	20100317	rwst			Mar 17, 2010	
	Rv3223c	sigH		GO:0051409	response to nitrosative stress	PMID:14671303	IMP		P		rpoE	protein	organism:1773	20100317	rwst			Mar 17, 2010	
	Rv2136c	Rv2136c		GO:0051409	response to nitrosative stress	PMID:14671303	IMP		P		Rv2136c	protein	organism:1773	20100317	rwst			Mar 17, 2010	
	Rv3916c	Rv3916c		GO:0051409	response to nitrosative stress	PMID:14671303	IMP		P		Rv3916c	protein	organism:1773	20100317	rwst			Mar 17, 2010	
	Rv3854c	ethA		GO:0004499	flavin-containing monooxygenase activity	PMID:11823459	IDA		F		etaA	protein	organism:1773	20100317	rwst			Mar 17, 2010	
	Rv3854c	ethA		GO:0055114	oxidation-reduction process	PMID:11823459	IDA		P		etaA	protein	organism:1773	20100317	rwst			Mar 17, 2010	
	Rv3854c	ethA		GO:0005886	plasma membrane	PMID:11823459	IDA		C		etaA	protein	organism:1773	20100317	rwst			Mar 17, 2010	
